Analyzing  GM
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_marion_russell'}, u'name': {u'type': u'literal', u'value': u'Charles Marion Russell'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1790'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chief_john_ross'}, u'name': {u'type': u'literal', u'value': u'Chief John Ross'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1859'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/henry_joseph_sharp'}, u'name': {u'type': u'literal', u'value': u'Joseph Henry Sharp'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1876'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/kathryn_leighton_woodman'}, u'name': {u'type': u'literal', u'value': u'Kathryn Woodman Leighton'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1866'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/leigh_robinson_william'}, u'name': {u'type': u'literal', u'value': u'William Robinson Leigh'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1898'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mauzey_merritt_thomas'}, u'name': {u'type': u'literal', u'value': u'Merritt Thomas Mauzey'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1778'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/peale_rembrandt'}, u'name': {u'type': u'literal', u'value': u'Rembrandt Peale'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1837'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/moran_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Moran'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1877'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carl_olaf_seltzer'}, u'name': {u'type': u'literal', u'value': u'Olaf Carl Seltzer'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1886'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ernest_hennings_martin'}, u'name': {u'type': u'literal', u'value': u'Ernest Martin Hennings'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1796'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/catlin_george'}, u'name': {u'type': u'literal', u'value': u'George Catlin'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1898'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alexandre_hogue'}, u'name': {u'type': u'literal', u'value': u'Alexandre Hogue'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1830'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hays_jacob_william'}, u'name': {u'type': u'literal', u'value': u'William Jacob Hays'}}
