Analyzing  GM
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1864'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_marion_russell'}, u'name': {u'type': u'literal', u'value': u'Charles Marion Russell'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1902'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_henry_reynolds'}, u'name': {u'type': u'literal', u'value': u'Charles Henry Reynolds'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1796'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/asher_brown_durand'}, u'name': {u'type': u'literal', u'value': u'Asher Brown Durand'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1794'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/barton_james_longacre'}, u'name': {u'type': u'literal', u'value': u'James Barton Longacre'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1912'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/crumbo_wilson_woodrow'}, u'name': {u'type': u'literal', u'value': u'Woodrow Wilson Crumbo'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1921'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/blackbear_bosin_francis'}, u'name': {u'type': u'literal', u'value': u'Francis Blackbear Bosin'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1770'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/sequoyah'}, u'name': {u'type': u'literal', u'value': u'Sequoyah'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1902'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/herrera_velino'}, u'name': {u'type': u'literal', u'value': u'Velino Herrera'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1874'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hunter_john_young'}, u'name': {u'type': u'literal', u'value': u'John Young-Hunter'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1918'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/banks_charles_wilson'}, u'name': {u'type': u'literal', u'value': u'Charles Banks Wilson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1814'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bell_samuel_waugh'}, u'name': {u'type': u'literal', u'value': u'Samuel Bell Waugh'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1859'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_f_lummis'}, u'name': {u'type': u'literal', u'value': u'Charles F. Lummis'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1903'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mootzka_waldo'}, u'name': {u'type': u'literal', u'value': u'Waldo Mootzka'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1741'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_peale_willson'}, u'name': {u'type': u'literal', u'value': u'Charles Willson Peale'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1811'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bingham_caleb_george'}, u'name': {u'type': u'literal', u'value': u'George Caleb Bingham'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1838'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/aiken_walker_william'}, u'name': {u'type': u'literal', u'value': u'William Aiken Walker'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1916'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/stone_willard'}, u'name': {u'type': u'literal', u'value': u'Willard Stone'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1826'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hollyer_samuel'}, u'name': {u'type': u'literal', u'value': u'Samuel Hollyer'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1884'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/annie_healing_nampeyo'}, u'name': {u'type': u'literal', u'value': u'Annie Healing Nampeyo'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1898'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mopope_stephen'}, u'name': {u'type': u'literal', u'value': u'Stephen Mopope'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1907'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/acee_blue_eagle'}, u'name': {u'type': u'literal', u'value': u'Acee Blue Eagle'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1941'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jerome_tiger'}, u'name': {u'type': u'literal', u'value': u'Jerome Tiger'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1894'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/de_franklin_joseph_yong'}, u'name': {u'type': u'literal', u'value': u'Joseph Franklin de Yong'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1819'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ball_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Ball'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1922'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brummett_echohawk'}, u'name': {u'type': u'literal', u'value': u'Brummett Echohawk'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1855'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/l_turgis'}, u'name': {u'type': u'literal', u'value': u'L. Turgis'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1815'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carvalho_nunes_solomon'}, u'name': {u'type': u'literal', u'value': u'Solomon Nunes Carvalho'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1953'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/sonya_terpening'}, u'name': {u'type': u'literal', u'value': u'Sonya Terpening'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1819'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alfred_jones'}, u'name': {u'type': u'literal', u'value': u'Alfred Jones'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1957'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/anton_bill'}, u'name': {u'type': u'literal', u'value': u'Bill Anton'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1892'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/edmund_f_ward'}, u'name': {u'type': u'literal', u'value': u'Edmund F. Ward'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1914'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/big_bow_wilson_woodrow'}, u'name': {u'type': u'literal', u'value': u'Woodrow Wilson Big Bow'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1918'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/pablita_velarde'}, u'name': {u'type': u'literal', u'value': u'Pablita Velarde'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1810'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alfred_jacob_miller'}, u'name': {u'type': u'literal', u'value': u'Alfred Jacob Miller'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1872'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/borein_edward_john'}, u'name': {u'type': u'literal', u'value': u'John Edward Borein'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1847'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/hamilton'}, u'name': {u'type': u'literal', u'value': u'Hamilton Hamilton'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1828'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alonzo_chappel'}, u'name': {u'type': u'literal', u'value': u'Alonzo Chappel'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1955'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/anthony_pahsetopah_paul'}, u'name': {u'type': u'literal', u'value': u'Paul Anthony Pahsetopah'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1835'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ferris_james_stephen'}, u'name': {u'type': u'literal', u'value': u'Stephen James Ferris'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1921'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/quincy_tahoma'}, u'name': {u'type': u'literal', u'value': u'Quincy Tahoma'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1852'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jacques_reich'}, u'name': {u'type': u'literal', u'value': u'Jacques Reich'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1842'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/mary_moran_nimmo'}, u'name': {u'type': u'literal', u'value': u'Mary Nimmo Moran'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1688'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/john_smibert'}, u'name': {u'type': u'literal', u'value': u'John Smibert'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1801'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brothers_illman'}, u'name': {u'type': u'literal', u'value': u'Illman Brothers'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1801'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brothers_illman'}, u'name': {u'type': u'literal', u'value': u'Illman Brothers'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1889'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/lackey_vinson'}, u'name': {u'type': u'literal', u'value': u'Vinson Lackey'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1819'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/arthur_fitzwilliam_tait'}, u'name': {u'type': u'literal', u'value': u'Arthur Fitzwilliam Tait'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1960'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/brian_marion_pashigeesic'}, u'name': {u'type': u'literal', u'value': u'Brian Pashigeesic Marion'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1781'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jarvis_john_wesley'}, u'name': {u'type': u'literal', u'value': u'John Wesley Jarvis'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1876'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ufer_walter'}, u'name': {u'type': u'literal', u'value': u'Walter Ufer'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1837'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cross_h_henry'}, u'name': {u'type': u'literal', u'value': u'Henry H. Cross'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1886'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/reiss_winold'}, u'name': {u'type': u'literal', u'value': u'Winold Reiss'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1897'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ila_mae_mcafee'}, u'name': {u'type': u'literal', u'value': u'Ila Mae McAfee'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1809'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bodmer_karl'}, u'name': {u'type': u'literal', u'value': u'Karl Bodmer'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1911'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/beaver_fred'}, u'name': {u'type': u'literal', u'value': u'Fred Beaver'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1825'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/colyer_vincent'}, u'name': {u'type': u'literal', u'value': u'Vincent Colyer'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1874'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/blumenschein_ernest_leonard'}, u'name': {u'type': u'literal', u'value': u'Ernest Leonard Blumenschein'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1883'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carleton_guy_wiggins'}, u'name': {u'type': u'literal', u'value': u'Guy Carleton Wiggins'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1810'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/clark_mills'}, u'name': {u'type': u'literal', u'value': u'Clark Mills'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1810'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/kane_paul'}, u'name': {u'type': u'literal', u'value': u'Paul Kane'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1840'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cary_de_la_montagne_william'}, u'name': {u'type': u'literal', u'value': u'William de la Montagne Cary'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1804'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/moses_swett'}, u'name': {u'type': u'literal', u'value': u'Moses Swett'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1950'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/anna_arnett_joe'}, u'name': {u'type': u'literal', u'value': u'Joe Anna Arnett'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1872'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/george_hand_wright'}, u'name': {u'type': u'literal', u'value': u'George Hand Wright'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1839'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/keith_william'}, u'name': {u'type': u'literal', u'value': u'William Keith'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1861'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_schreyvogel'}, u'name': {u'type': u'literal', u'value': u'Charles Schreyvogel'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1820'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/alfred_sully'}, u'name': {u'type': u'literal', u'value': u'Alfred Sully'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1860'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frank_reaugh'}, u'name': {u'type': u'literal', u'value': u'Frank Reaugh'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1882'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/balink_c_henry'}, u'name': {u'type': u'literal', u'value': u'Henry C. Balink'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1951'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/stroud_virginia'}, u'name': {u'type': u'literal', u'value': u'Virginia Stroud'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1915'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cecil_dick'}, u'name': {u'type': u'literal', u'value': u'Cecil Dick'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1903'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/allison_and_kurz'}, u'name': {u'type': u'literal', u'value': u'Kurz and Allison'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1880'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/allison_and_kurz'}, u'name': {u'type': u'literal', u'value': u'Kurz and Allison'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1880'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/allison_and_kurz'}, u'name': {u'type': u'literal', u'value': u'Kurz and Allison'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1891'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/carlos_m_rida'}, u'name': {u'type': u'literal', u'value': u'Carlos M\ufffdrida'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1960'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/matt_smith'}, u'name': {u'type': u'literal', u'value': u'Matt Smith'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1828'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/charles_ferdinand_wimar'}, u'name': {u'type': u'literal', u'value': u'Charles Ferdinand Wimar'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1843'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/henry_jackson_william'}, u'name': {u'type': u'literal', u'value': u'William Henry Jackson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1912'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ira_moskowitz'}, u'name': {u'type': u'literal', u'value': u'Ira Moskowitz'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1907'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/lois_smokey'}, u'name': {u'type': u'literal', u'value': u'Lois Smokey'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1743'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/jefferson_thomas'}, u'name': {u'type': u'literal', u'value': u'Thomas Jefferson'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1914'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/begay_harrison'}, u'name': {u'type': u'literal', u'value': u'Harrison Begay'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1849'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/chase_merritt_william'}, u'name': {u'type': u'literal', u'value': u'William Merritt Chase'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1707'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/feke_robert'}, u'name': {u'type': u'literal', u'value': u'Robert Feke'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1858'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/ayer_burbank_elbridge'}, u'name': {u'type': u'literal', u'value': u'Elbridge Ayer Burbank'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1950'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/forbis_steve'}, u'name': {u'type': u'literal', u'value': u'Steve Forbis'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1912'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/richard_w_west'}, u'name': {u'type': u'literal', u'value': u'W. Richard West'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1741'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/antoine_houdon_jean'}, u'name': {u'type': u'literal', u'value': u'Jean Antoine Houdon'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1882'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/c_n_wyeth'}, u'name': {u'type': u'literal', u'value': u'N. C. Wyeth'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1879'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/cassidy_gerald'}, u'name': {u'type': u'literal', u'value': u'Gerald Cassidy'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1907'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/currier_ives'}, u'name': {u'type': u'literal', u'value': u'Currier & Ives'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1834'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/currier_ives'}, u'name': {u'type': u'literal', u'value': u'Currier & Ives'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1834'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/currier_ives'}, u'name': {u'type': u'literal', u'value': u'Currier & Ives'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1819'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/james_walker'}, u'name': {u'type': u'literal', u'value': u'James Walker'}}
Enough matches were not found for entity {u'byear': {u'type': u'literal', u'value': u'1950'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/gary_montgomery'}, u'name': {u'type': u'literal', u'value': u'Gary Montgomery'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1874'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/frank_johnson_tenney'}, u'name': {u'type': u'literal', u'value': u'Frank Tenney Johnson'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1930'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/bateman_mclellan_robert'}, u'name': {u'type': u'literal', u'value': u'Robert McLellan Bateman'}}
Found perfect match for entity  {u'byear': {u'type': u'literal', u'value': u'1824'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/christian_schussele'}, u'name': {u'type': u'literal', u'value': u'Christian Schussele'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1945'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/benjamin_harjo_jr'}, u'name': {u'type': u'literal', u'value': u'Benjamin Harjo Jr.'}}
No matches were found for entity {u'byear': {u'type': u'literal', u'value': u'1860'}, u'uri': {u'type': u'uri', u'value': u'http://data.americanartcollaborative.org/GM/constituent/nampeyo'}, u'name': {u'type': u'literal', u'value': u'Nampeyo'}}
